id,product_name,price,reviews_count,avg_rate,brand
363,Servet Sneakers Comfort Sport Shoes For Women - Beige - Servet El Turkey,EGP 285.00,30 verified ratings,4.6/5,Servet
364,Axe Gold Temptation Spray For Men - 150ml,EGP 53.35,700 verified ratings,4.5/5,Axe
365,Axe Aerosol Dark Temption Body Spray for Men - 150 ml,EGP 48.00,637 verified ratings,4.5/5,Axe
366,Heinz Natural Vinegar – 1L,EGP 9.95,62 verified ratings,4.7/5,Heinz
367,Mesery Bundle Of Three Breathable Cotton Stretch Undershirts,EGP 159.99,79 verified ratings,4.2/5,Mesery
368,Hygiene Sensitive Skin Baby Wet Wipes - 70 + 10 Wipes,EGP 25.20,29 verified ratings,4.2/5,Hygiene
369,Defacto Man Beige Joggers,EGP 184.00,3 verified ratings,5/5,Defacto
370,"Aloe Eva Argan Hair Care Bundle (Shampoo , Conditioner , Hair Oil , Hair Mask ) – 4 pcs",EGP 115.00,174 verified ratings,4.3/5,Aloe Eva
371,"Pampers Premium Care Diapers Size 3, Midi, 6-10 Kg (64 diapers)",EGP 218.75,13 verified ratings,4.5/5,Pampers
372,L'Oreal Paris Colour Riche Extraordinaire Liquid Lipcolour - 500 Molto Mauve,EGP 99.00,8 verified ratings,4.3/5,L'Oreal Paris
373,Hairy Grow Hair Tonic Oil Moroccan Argan With Vitamins- 100 Ml,EGP 90.00,88 verified ratings,4.3/5,Hairy Grow
374,Harvest Strained Fava Beans – 400g – 2 Pcs,EGP 21.00,59 verified ratings,4.6/5,Harvest
375,"Dolive Shower Gel, Body Wash, 2000 Ml, Night Flower",EGP 70.00,21 verified ratings,4.2/5,Dolive
376,Me Now Pro All New Dynamic Liquid Eyeliner - 1.3g - 01,EGP 59.00,59 verified ratings,4.4/5,Me Now Pro
377,SHEIN Metal Frame Tinted Lens Glasses-6852,EGP 179.00,26 verified ratings,4.5/5,SHEIN
378,Staedtler Plastic Ruler 15Cm with holder - Set of 2,EGP 8.00,6 verified ratings,4/5,Staedtler
379,Tokyo Flip Flop Slippers For Men -Black,EGP 59.00,90 verified ratings,4.4/5,(90 verified ratings)
380,Mesery Bundle OF Three Underwear - For Women,EGP 69.99,34 verified ratings,4.6/5,Mesery
381,Wet Baby Sensitive Wipes Chamomile With Cap - Vitamin E – 72 Wipes,EGP 17.00,4 verified ratings,4.3/5,(4 verified ratings)
382,Imtenan Parsley Celery - 18 Sachet,EGP 24.20,39 verified ratings,4.4/5,Imtenan
383,Digital Food Scale - 10Kg,EGP 97.99,648 verified ratings,4.2/5,(648 verified ratings)
384,Me Now Pro MN Lash Doubling Mascara For Long Thick Curly Lashes - Black 01 - 8g,EGP 49.00,87 verified ratings,4.2/5,Me Now Pro
385,Servet Sneakers Comfort Sport Shoes For Women - White - Servet El Turkey,EGP 285.00,9 verified ratings,5/5,Servet
386,El Maleka Big Rings Pasta - 1Kg,EGP 15.00,402 verified ratings,4.6/5,El Maleka
387,SteriMax Antiseptic Soap 2 Jerrycan - 4 Liter,EGP 189.00,22 verified ratings,4.7/5,SteriMax
388,Halwani Brothers Halwani Brothers Strawberry Jam - 750g,EGP 29.88,12 verified ratings,4.8/5,Halwani Brothers
389,Vaseline Intensive Care™ Essential Healing Body Lotion – 200 ml,EGP 60.00,3 verified ratings,4.3/5,Vaseline
390,Maybelline New York Sensational Color Elixir Lip Color - 095 Blush Essence,EGP 99.00,3 verified ratings,4.3/5,Maybelline New York
391,Kangaroo Hand Wallet For Men - Camel,EGP 110.00,18 verified ratings,4.3/5,(18 verified ratings)
392,MEGA Shoes RED-black Sports Shoes Washable With Light EVA Sole,EGP 180.00,35 verified ratings,4.3/5,MEGA Shoes
393,LC Waikiki Basic Polo Neck Short Sleeve Piqué Men's T-Shirt,EGP 119.00,2 verified ratings,4.5/5,LC Waikiki
394,Fern Golden Mix Vegetable Ghee - 700g,EGP 44.00,38 verified ratings,4.6/5,Fern
395,Cottonil Bundle Of Three Smooth Cotton Briefs,EGP 100.00,297 verified ratings,4.4/5,Cottonil
396,Starville Whitening Whitening Cleanser - 200ml,EGP 80.00,3 verified ratings,5/5,Starville Whitening
397,Fern Pure Natural Butter Ghee - 1.8Kg,EGP 357.00,49 verified ratings,4.8/5,Fern
398,LC Waikiki Classic Crew Neck Floral Long Sleeve Women's Tunic,EGP 239.00,2 verified ratings,4.5/5,LC Waikiki
399,Sherraton Pure Ghee - 800g,EGP 159.00,82 verified ratings,4.7/5,Sherraton
400,Etude House My Lash Serum,EGP 134.99,1030 verified ratings,4.1/5,Etude House
401,American Eagle Fleece Zip-Up Hoodie,EGP 550.00,85 verified ratings,4.5/5,American Eagle
402,Essence I Love Extreme Crazy Volume Mascara - 12ml - Black,EGP 110.00,795 verified ratings,4.4/5,Essence
403,Causal Wide Leg Pants - Black,EGP 99.00,,,(No ratings available)
404,Maybelline New York Sensational Color Elixir Lip Color - 025 Mauve Mystique,EGP 99.00,11 verified ratings,4.5/5,Maybelline New York
405,Dice Bundle OF Two Sleeveless Top & Boxer - For Kids,EGP 149.00,64 verified ratings,4.4/5,Dice
406,Garnier Fast Bright Vitamin C Purifying Gel Wash – 400ml Skin Care,EGP 88.00,16 verified ratings,4.1/5,Garnier
407,Glasgow Perforated Slide Slippers For Men - Black,EGP 69.00,119 verified ratings,4.3/5,(119 verified ratings)
408,Gawaher Elbow Pasta - 350g,EGP 6.00,37 verified ratings,4.3/5,Gawaher
409,Me Now Make Up Set Palette Professional - 78 Colors,EGP 219.00,66 verified ratings,4.3/5,Me Now
410,Belt Buckles Shirt Holder Belt Adjustable For Chemise,EGP 56.00,645 verified ratings,3.8/5,(645 verified ratings)
411,Mesery Bundle Of Three Cotton Stretch Plain Spaghetti Tops,EGP 129.99,667 verified ratings,4.2/5,Mesery
412,Mesery Bundle Of Three Cotton Stretch Plain Tank Tops,EGP 129.99,59 verified ratings,4.1/5,Mesery
413,Durex Pleasure Me Condoms - 12 Pcs,EGP 139.08,820 verified ratings,4.4/5,Durex
414,Al Wedad Two Piece Of Warmer Set With Padded Inside - Melon,EGP 69.00 - EGP 140.00,168 verified ratings,4.4/5,Al Wedad
415,Aquafresh Little Teeth Toothpaste 3-5 years - 50ml,EGP 17.44,,,Aquafresh
416,Lino Oat Biscuit Coconut - 180 Gm - 12 Piece,EGP 20.00,44 verified ratings,4.3/5,Lino
417,Zeina Classic 550 Soft Tissues - 10 Mega Packs,EGP 162.70,160 verified ratings,4.4/5,Zeina
418,Bundle Of (12) Women Ankle Socks For Women,EGP 47.00,902 verified ratings,4/5,(902 verified ratings)
419,Signal Toothpaste Cavity Fighter - 120Ml,EGP 19.95,16 verified ratings,4.7/5,Signal
420,Activ Side Double Black Strips Sneakers - White & Black,EGP 329.00,1 verified rating,5/5,Activ
421,Palmolive Coconut & Milk Shower Gel - 500 ml,EGP 47.84,3 verified ratings,4.7/5,Palmolive
422,Discount Nuts Roasted & Salted Almond  - 500gm,EGP 130.80,723 verified ratings,4.3/5,Discount Nuts
423,Sokany Professional Hair Dryer Sokany -2300W,EGP 146.95,289 verified ratings,3.8/5,Sokany
424,VGR V-228 Professional Rechargeable Hair Trimmer,EGP 238.00,399 verified ratings,4.2/5,VGR
425,"Smart Scent Car Freshener, Smart Scent, Black Ice XXL Paper",EGP 23.00,30 verified ratings,4.3/5,Smart Scent
426,Nileton Sportswear - Sport Leggings Pants With Pocket - Black,EGP 185.00,118 verified ratings,4.6/5,Nileton
427,Activ Self Patterned Green & Mint Backpack,EGP 169.00,2 verified ratings,5/5,Activ
428,American Eagle AE Linen Band Collar Button Up Shirt,EGP 350.00,1 verified rating,5/5,American Eagle
429,NIVEA MEN Creme Moisturizing All Purpose Cream Tin - For Men - 75ml,EGP 35.95,319 verified ratings,4.4/5,NIVEA MEN
430,Karimed Brilliant Touch Hand Wash 500ML And 90ML Free Red,EGP 28.00,1 verified rating,4/5,Karimed
431,Wet Baby Sensitive Wipes Chamomile With Cap - Vitamin E – 120 Wipes,EGP 19.00,15 verified ratings,4.8/5,(15 verified ratings)
432,Garnier Micellar Water Face Cleanser & Daily Make-up Remover - 400ml,EGP 155.00,2969 verified ratings,4.5/5,Garnier
433,Glass Bottle - 0.5 L,EGP 19.00,70 verified ratings,4.1/5,(70 verified ratings)
434,Activ Front Patterned Pocket Zipper Backpack - Red,EGP 169.00,3 verified ratings,4/5,Activ
435,American Eagle Slim Flex Polo Shirt,EGP 350.00,263 verified ratings,4.7/5,American Eagle
436,Vaseline Lip Therapy Rosy Lips - 17g,EGP 75.00,2 verified ratings,5/5,Vaseline
437,LC Waikiki Crew Neck Short Sleeve Printed Cotton Baby Girl T-Shirt,EGP 65.00,1 verified rating,4/5,LC Waikiki
438,Juhayna Juhayna 0% Fat Milk – 1 L,EGP 20.00,5 verified ratings,4.8/5,Juhayna
439,Bundle Of (12) Basic Socks - High Quality,EGP 64.00,15 verified ratings,3.5/5,(15 verified ratings)
440,"Water Bottle My Bottle For School ,Clubs And Gym 500 Ml 1 Pcs",EGP 79.99,18 verified ratings,3.7/5,(18 verified ratings)
441,Desert Men Minimalist Lace-up White Flat Sneakers,EGP 299.00,2 verified ratings,4/5,Desert
442,Activ Full Blue Backpacks With A Front Pocket,EGP 169.00,1 verified rating,5/5,Activ
443,Al Wedad Two Piece Of Warmer Set With Padded Inside - Yellow,EGP 69.00 - EGP 140.00,154 verified ratings,4.4/5,Al Wedad
444,Nileton Sportswear - Sport Leggings Pants With Pocket - High Stretch,EGP 195.00,18 verified ratings,4.3/5,Nileton
445,Emami Kesh King Anti-Hair Fall Shampoo - 200 Ml,EGP 96.99,1500 verified ratings,4.3/5,Emami
446,Leather Cross Bag - HAVAN,EGP 169.00,81 verified ratings,4.3/5,(81 verified ratings)
447,Karimed Keraview Keratin Shampoo With Jojoba Oil For Greasy Hair 350ml,EGP 45.00,12 verified ratings,4.3/5,Karimed
448,Star Pasta Rice - 400g,EGP 7.00,47 verified ratings,4.4/5,Star
449,Regina Pasta Spaghetti - 400g,EGP 11.00,219 verified ratings,4.5/5,Regina
450,American Eagle AE Pique Polo Shirt,EGP 275.00,,,American Eagle
451,Karimed SNOW SHINE Micellar Water4Pcs. Makeup Remover Rose 100ML,EGP 156.00,11 verified ratings,4.7/5,Karimed
452,"American Eagle Eagle 6"" Classic Boxer Brief",EGP 125.00,88 verified ratings,4.2/5,American Eagle
453,Servet Sneakers Comfort Sport Shoes For Women - Black - Made In Turkey,EGP 285.00,13 verified ratings,4.4/5,Servet
454,Defacto Woman White T-shirt,EGP 160.00,2 verified ratings,5/5,Defacto
455,Mero Flower Honey 380g +Sugarcane Molasses Syrup 380g,EGP 29.75,6 verified ratings,3.7/5,Mero
456,Tornado TH-C12YEE Cooling Only Split Air Conditioner - 1.5hp,"EGP 6,999.00",2 verified ratings,3/5,Tornado
